Rule,Irule,Redireccionamiento
/Common/http_request_HCE.Services,"{[string tolower [HTTP::uri]] contains ""/hce.services""}",pool POOL_HCE.Services_http
/Common/http_request_WebApi,"{[string tolower [HTTP::uri]] contains ""/webapi-casiopeaplushcecl3.idc.local""}",pool POOL_WebApi_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.ClinicalReport.Service*"" $uri]}",pool POOL_Casiopea.ClinicalReport.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.ElectronicPrivatePrescription.Service*"" $uri]}",pool POOL_Casiopea.ElectronicPrivatePrescription.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Form.Service*"" $uri]}",pool POOL_Casiopea.Form.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.HospitalPorter.Service*"" $uri]}",pool POOL_Casiopea.HospitalPorter.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.InformedConsents.Service*"" $uri]}",pool POOL_Casiopea.InformedConsents.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Episodes.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Episodes.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.History.Service*"" $uri]}",pool POOL_Casiopea.Mobility.History.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Notes.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Notes.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Orders.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Orders.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Patients.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Patients.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Prescriptions.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Prescriptions.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.NursingTasks.Service*"" $uri]}",pool POOL_Casiopea.NursingTasks.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Rehabilitation.Service*"" $uri]}",pool POOL_Casiopea.Rehabilitation.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Surgery.Service*"" $uri]}",pool POOL_Casiopea.Surgery.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.WebDialog.Service*"" $uri]}",pool POOL_Casiopea.WebDialog.Service_hce_cluster3_http
/Common/http_request_casiopeamshcecl3,"{[string match ""*Casiopea.Dashboard.Service*"" $uri]}",pool POOL_Casiopea.Dashboard.Service_hce_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Api.Gateway"" $uri]}",pool POOL_Casiopea.Api.Gateway_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.ClinicalReport.Service"" $uri]}",pool POOL_Casiopea.ClinicalReport.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.CMBD.Service"" $uri]}",pool POOL_Casiopea.CMBD.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Configuration.Service"" $uri]}",pool POOL_Casiopea.Configuration.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.ElectronicPrivatePrescription.Service"" $uri]}",pool POOL_Casiopea.ElectronicPrivatePrescription.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Facturacion.Service"" $uri]}",pool POOL_Casiopea.Facturacion.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Form.Service"" $uri]}",pool POOL_Casiopea.Form.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Formulas.Service"" $uri]}",pool POOL_Casiopea.Formulas.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.InformedConsents.Service"" $uri]}",pool POOL_Casiopea.InformedConsents.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Episodes.Service"" $uri]}",pool POOL_Casiopea.Mobility.Episodes.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.History.Service"" $uri]}",pool POOL_Casiopea.Mobility.History.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Notes.Service"" $uri]}",pool POOL_Casiopea.Mobility.Notes.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Orders.Service"" $uri]}",pool POOL_Casiopea.Mobility.Orders.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Patients.Service"" $uri]}",pool POOL_Casiopea.Mobility.Patients.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Prescriptions.Service"" $uri]}",pool POOL_Casiopea.Mobility.Prescriptions.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.MS.DefinitionTaskPathway"" $uri]}",pool POOL_Casiopea.MS.DefinitionTaskPathway_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.NursingTasks.Service"" $uri]}",pool POOL_Casiopea.NursingTasks.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Reports.Service"" $uri]}",pool POOL_Casiopea.Reports.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.Surgery.Service"" $uri]}",pool POOL_Casiopea.Surgery.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Casiopea.WebDialog.Service"" $uri]}",pool POOL_Casiopea.WebDialog.Service_cluster3_http
/Common/http_request_casiopeamshiscl3,"{[string match ""/Service.Caching"" $uri]}",pool POOL_Service.Caching_cluster3_http
/Common/http_request_casiopeaplushcecl3.idc.local,"{[string match ""/hce.services"" $uri]}",pool POOL_HCE.Services_http
/Common/http_request_casiopeaplushcecl3.idc.local,"{[string match ""/WebApi"" $uri]}",pool POOL_WebApi_http
/Common/http_request_casiopeaplushiscl3,"{[string tolower [HTTP::uri]] contains ""/casiopeaplushiscl3_services""}",pool POOL_casiopeaplushiscl3_services_http
/Common/http_request_casiopeaplushiscl3.idc.local,"{[string match ""/hce.services"" $uri]}",pool POOL_casiopeaplushiscl3_services_http
/Common/http_request_casiopeaplushiscl3.idc.local,"{[string match ""/webapi-casiopeaplushiscl3.idc.local"" $uri]}",pool POOL_webapi-casiopeaplushiscl3.idc.local_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Aggregator.Service"" $uri]}",pool POOL_Casiopea.Aggregator.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Alerts.Service"" $uri]}",pool POOL_Casiopea.Alerts.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.ApiGateway.Recomendations"" $uri]}",pool POOL_Casiopea.ApiGateway.Recomendations_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Audit.Service"" $uri]}",pool  POOL_Casiopea.Audit.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.BI.Service"" $uri]}",pool POOL_Casiopea.BI.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Drawing.Service"" $uri]}",pool POOL_Casiopea.Drawing.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Identity.Server.Service"" $uri]}",pool POOL_Casiopea.Identity.Server.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.IssueRegister.Service"" $uri]}",pool POOL_Casiopea.IssueRegister.Servicee_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Media.Service"" $uri]}",pool POOL_Casiopea.Media.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Mobility.Api.Gateway"" $uri]}",pool POOL_Casiopea.Mobility.Api.Gateway_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Mobility.User.Service"" $uri]}",pool POOL_Casiopea.Mobility.User.Service_hce_cluster3_http
