monitor,Adaptive,Cipherlist,Compatibility,Debug,Defaults_from,Description,Destination,get,Interval,password,server,service,IP_DSCP,RECV,RECV_DISABLE,reverse,SEND,ssl_profile,time_until_up,timeout,username
/Common/https ,,,,,,,,,,,,,,,,,,,,,
/Common/http ,,,,,,,,,,,,,,,,,,,,,
/Common/https_443 ,,,,,,,,,,,,,,,,,,,,,
/Common/tcp ,,,,,,,,,,,,,,,,,,,,,
http /Common/HCE.Services_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /hce.services/ HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/HCE_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /HCE/?APLICACION=CASIOPEA HTTP/1.1\r\nHost: casiopeaplushcecl3.idc.local""",,0,91,
http /Common/Monitor_Casiopea ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/*/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/Service.Caching_cluster3_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/Casiopea.Api.Gateway_cluster3/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/WebApi_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost:8080/swagger/ui/index  HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/asiopea.Mobility.Prescriptions.Service_cluster3_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/Casiopea.Api.Gateway_cluster3/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/casiopeaplushiscl3_services_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /hce.services/ HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/casiopeaworkflowhcecl3.idc.local_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/Casiopea.WorkFlow.Gateway/api/v1/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/casiopeaworkflowhiscl3.idc.local_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/Casiopea.MS.EngineCarePathway/hc  HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/monitor_Casiopea.MS.EngineCarePathway_cluster3_his_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/Casiopea.MS.EngineCarePathway/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
http /Common/monitor_casiopea.dashboard.service_hce_cluster3_http ,disabled,,,,/Common/http,,,,5,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost/casiopea.dashboard.service/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,16,
http /Common/monitor_casiopeaplushiscl3_hce_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /HCE/?APLICACION=CASIOPEA HTTP/1.1\r\nHost: casiopeaplushiscl3.idc.local""",,0,91,
http /Common/webapi-casiopeaplushiscl3.idc.local_http ,disabled,,,,/Common/http,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost:8080/swagger/ui/index  HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/HCE.Services_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /hce.services/ HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/HCE_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /HCE/?APLICACION=CASIOPEA HTTP/1.1\r\nHost: casiopeaplushcecl3.idc.local""",,0,91,
https /Common/Service.Caching_cluster3s_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET https://localhost/Service.Caching_cluster3s/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/WebApi_https ,disabled,,,,/Common/https,,,,5,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET http://localhost:8080/swagger/ui/index  HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,16,
https /Common/casiopeaplushiscl3_services_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET /hce.services/ HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/casiopeaworkflowhcecl3.idc.local_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET https://localhost/Casiopea.WorkFlow.Gateway/api/v1/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/casiopeaworkflowhiscl3.idc.local_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET https://localhost/Casiopea.MS.EngineCarePathway/hc  HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/monitor_Casiopea.Dashboard.Service_hce_cluster3_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET https://localhost/casiopea.dashboard.service/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/monitor_Casiopea.MS.EngineCarePathway_cluster3_his_https ,disabled,,,,/Common/https,,,,30,,,,0,"""HTTP/1.[01] 200 OK""",none,,"""GET https://localhost/Casiopea.MS.EngineCarePathway/hc HTTP/1.0\r\nConnection: Close\r\n\r\n""",,0,91,
https /Common/monitor_agendas_https_431 ,disabled,,,,/Common/https,,,,30,,,,0,"""Visual Basic""",none,,"""GET https://localhost:431/Router/GestionAgendas.svc\r\n""",,0,91,
