Nodo,IP,Descripción
/Common/CPDC3FORCN001,10.170.53.10,
/Common/CPDC3FORCN002,10.170.53.11,
/Common/CPDC3FORMS001,10.170.53.12,
/Common/CPDC3FORMS002,10.170.53.13,
/Common/CPDC3FORMS003,10.170.53.14,
/Common/CPDC3FORMS004,10.170.53.15,
/Common/CPDC3FORPR001,10.170.53.16,
/Common/CPDC3FORRO001,10.170.53.17,
/Common/CPDC3FORWS001,10.170.53.18,
/Common/CPDC3FORWS002,10.170.53.19,
/Common/CPDC3FORWS003,10.170.53.42,
/Common/CPDC3FORWS004,10.170.53.43,
/Common/CPDCAFORMS001,10.170.53.44,
/Common/CPDCAFORMS002,10.170.53.45,
/Common/CPDCAFORMS003,10.170.53.46,
/Common/CPDCAFORMS004,10.170.53.47,
/Common/CPDCAFORMS006,10.170.53.49,
/Common/CPDCAFORMS007,10.170.53.50,
/Common/CPDCAFORMS008,10.170.53.51,
/Common/CPDCAFORMS009,10.170.53.52,
/Common/CPDCAFORWS001,10.170.53.80,
/Common/CPDCAFORWS002,10.170.53.20,
/Common/CPDCAFORWS003,10.170.53.21,
/Common/CPDCAFORWS007,10.170.53.25,
/Common/CPDCRFORMS001,10.170.53.54,
/Common/CPDCRFORMS002,10.170.53.55,
/Common/CPDCRFORMS003,10.170.53.56,
/Common/CPDCRFORMS004,10.170.53.57,
/Common/CPDCRFORMS005,10.170.53.58,
/Common/CPDCRFORMS006,10.170.53.59,
