virtual,POOL,Rule
/Common/VS_casiopeamshcecl3.idc.local_http,,/Common/http_request_casiopeamshcecl3
/Common/VS_casiopeamshcecl3.idc.local_https,/Common/POOL_Casiopea.ClinicalReport.Service_hce_cluster3_https,/Common/https_request_casiopeamshcecl3
/Common/VS_casiopeamshiscl3.idc.local_http,,/Common/http_request_casiopeamshiscl3
/Common/VS_casiopeamshiscl3.idc.local_https,/Common/POOL_Casiopea.Api.Gateway_cluster3_https,/Common/https_request_casiopeamshiscl3
/Common/VS_casiopeaplushcecl3.idc.local_http,/Common/POOL_HCE_http,/Common/http_request_HCE.Services
/Common/VS_casiopeaplushcecl3.idc.local_http,/Common/POOL_HCE_http,/Common/http_request_WebApi
/Common/VS_casiopeaplushcecl3.idc.local_https,/Common/POOL_HCE_https,/Common/https_request_HCE.Services
/Common/VS_casiopeaplushcecl3.idc.local_https,/Common/POOL_HCE_https,/Common/https_request_WebApi
/Common/VS_casiopeaplushiscl3.idc.local_http,/Common/POOL_casiopeaplushiscl3_hce_http,/Common/http_request_casiopeaplushiscl3.idc.local
/Common/VS_casiopeaplushiscl3.idc.local_https,/Common/POOL_casiopeaplushiscl3_hce_https,/Common/https_request_casiopeaplushiscl3.idc.local
/Common/VS_casiopeaworkflowhcecl3.idc.local_http,/Common/POOL_casiopeaworkflowhcecl3.idc.local_http,
/Common/VS_casiopeaworkflowhcecl3.idc.local_https,/Common/POOL_casiopeaworkflowhcecl3.idc.local_https,
/Common/VS_casiopeaworkflowhiscl3.idc.local_http,/Common/POOL_Casiopea.MS.EngineCarePathway_cluster3_his_http,
/Common/VS_casiopeaworkflowhiscl3.idc.local_https,/Common/POOL_Casiopea.MS.EngineCarePathway_cluster3_his_https,
/Common/VS_casioproxyhiscl3.idc.local_444,/Common/POOL_casioproxyhiscl3.idc.local_444,
/Common/VS_casiorouterhcecl3.idc.local_431,/Common/POOL_casiorouterhcecl3.idc.local_431,
/Common/VS_casiorouterhiscl3.idc.local_431,/Common/POOL_casiorouterhiscl3.idc.local_431,
/Common/VS_casioserviceshcecl3.idc.local_80,,/Common/http_request_casioserviceshcecl3
/Common/VS_casioserviceshcecl3.idc.local_443,,/Common/https_request_casioserviceshcecl3
/Common/VS_casioserviceshiscl3.idc.local_http,,/Common/http_request_casioserviceshiscl3.idc.local
/Common/VS_casioserviceshiscl3.idc.local_https,,/Common/https_request_casioserviceshiscl3.idc.local
/Common/VS_fjdcasiopeahcecl3.idc.local_444,/Common/POOL_fjdcasiopeahcecl3.idc.local_444,
/Common/VS_hcvcasiopeahcecl3.idc.local_447,/Common/POOL_hcvcasiopeahcecl3.idc.local_447,
/Common/VS_hepcasiopeahiscl3.idc.local_444,/Common/POOL_hepcasiopeahiscl3.idc.local_444,
/Common/VS_hrjccasiopeahcecl3.idc.local_443,/Common/POOL_hrjccasiopeahcecl3.idc.local_443,
/Common/VS_husccasiopeahiscl3.idc.local_443,/Common/POOL_husccasiopeahiscl3.idc.local_443,
/Common/VS_rubercasiopeahiscl3.idc.local_448,/Common/POOL_rubercasiopeahiscl3.idc.local_448,
/Common/VS_vmcasiopeahcecl3.idc.local_446,/Common/POOL_vmcasiopeahcecl3.idc.local_446,
